timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764043463813,468,POST - Owner Login,200,OK,Owner Management Thread Group 1-1,text,true,,819,344,3,3,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,462,0,105
1764043464358,315,POST - Owner Login,200,OK,Owner Management Thread Group 1-2,text,true,,819,344,4,4,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,315,0,89
1764043464956,272,POST - Owner Login,200,OK,Owner Management Thread Group 1-3,text,true,,819,344,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,272,0,88
1764043465305,445,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-1,text,true,,5641,438,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,443,0,0
1764043465678,136,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-2,text,true,,5641,438,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,133,0,0
1764043465557,312,POST - Owner Login,200,OK,Owner Management Thread Group 1-4,text,true,,819,344,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,312,0,89
1764043466234,149,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-3,text,true,,5641,438,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,147,0,0
1764043466157,323,POST - Owner Login,200,OK,Owner Management Thread Group 1-5,text,true,,819,344,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,323,0,87
1764043466754,124,GET - Owner Profile,200,OK,Owner Management Thread Group 1-1,text,true,,953,436,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,124,0,0
1764043466818,103,GET - Owner Profile,200,OK,Owner Management Thread Group 1-2,text,true,,953,436,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,103,0,0
1764043466876,145,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-4,text,true,,5641,438,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,144,0,0
1764043466754,285,POST - Owner Login,200,OK,Owner Management Thread Group 1-6,text,true,,819,344,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,285,0,96
1764043467387,100,GET - Owner Profile,200,OK,Owner Management Thread Group 1-3,text,true,,953,436,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,99,0,0
1764043467486,110,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-5,text,true,,5641,438,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,106,0,0
1764043467355,309,POST - Owner Login,200,OK,Owner Management Thread Group 1-7,text,true,,819,344,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,309,0,89
1764043467885,90,GET - Owner Bookings,404,Not Found,Owner Management Thread Group 1-1,text,false,,377,431,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,90,0,0
1764043467928,87,GET - Owner Bookings,404,Not Found,Owner Management Thread Group 1-2,text,false,,377,431,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,87,0,0
1764043468025,91,GET - Owner Profile,200,OK,Owner Management Thread Group 1-4,text,true,,953,436,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,91,0,0
1764043468046,125,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-6,text,true,,5641,438,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,122,0,0
1764043467958,338,POST - Owner Login,200,OK,Owner Management Thread Group 1-8,text,true,,819,344,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,338,0,89
1764043468494,87,GET - Owner Bookings,404,Not Found,Owner Management Thread Group 1-3,text,false,,377,431,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,87,0,0
1764043468601,94,GET - Owner Profile,200,OK,Owner Management Thread Group 1-5,text,true,,953,436,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,94,0,0
1764043468670,116,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-7,text,true,,5641,438,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,114,0,0
1764043468560,281,POST - Owner Login,200,OK,Owner Management Thread Group 1-9,text,true,,819,344,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,281,0,93
1764043468985,87,PUT - Accept Booking,404,Not Found,Owner Management Thread Group 1-1,text,false,,377,493,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings/NO_BOOKING_ID,87,0,0
1764043469021,93,PUT - Accept Booking,404,Not Found,Owner Management Thread Group 1-2,text,false,,377,493,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings/NO_BOOKING_ID,93,0,0
1764043469125,89,GET - Owner Bookings,404,Not Found,Owner Management Thread Group 1-4,text,false,,377,431,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,89,0,0
1764043469172,90,GET - Owner Profile,200,OK,Owner Management Thread Group 1-6,text,true,,953,436,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,89,0,0
1764043469303,134,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-8,text,true,,5641,438,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,131,0,0
1764043469156,338,POST - Owner Login,200,OK,Owner Management Thread Group 1-10,text,true,,819,344,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,338,0,90
1764043469585,87,PUT - Accept Booking,404,Not Found,Owner Management Thread Group 1-3,text,false,,377,493,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings/NO_BOOKING_ID,87,0,0
1764043469702,92,GET - Owner Bookings,404,Not Found,Owner Management Thread Group 1-5,text,false,,377,431,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,92,0,0
1764043469787,98,GET - Owner Profile,200,OK,Owner Management Thread Group 1-7,text,true,,953,436,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/profile,98,0,0
1764043469851,135,GET - Owner Dashboard,200,OK,Owner Management Thread Group 1-9,text,true,,5641,438,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/owner/dashboard,129,0,0
1764043469754,310,POST - Owner Login,200,OK,Owner Management Thread Group 1-11,text,true,,819,344,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,310,0,87
1764043470221,86,PUT - Accept Booking,404,Not Found,Owner Management Thread Group 1-4,text,false,,377,493,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings/NO_BOOKING_ID,86,0,0
1764043470078,259,POST - Owner Login,200,OK,Owner Management Thread Group 1-1,text,true,,819,527,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,259,0,0
1764043470266,90,GET - Owner Bookings,404,Not Found,Owner Management Thread Group 1-6,text,false,,377,431,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,90,0,0
