timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764044485642,451,GET - Search All Properties,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,4,4,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,270,0,130
1764044485894,399,GET - Search All Properties,200,OK,Property Search Thread Group 1-2,text,true,,71984,220,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,214,0,86
1764044486192,394,GET - Search All Properties,200,OK,Property Search Thread Group 1-3,text,true,,71984,220,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,218,0,95
1764044486491,397,GET - Search All Properties,200,OK,Property Search Thread Group 1-4,text,true,,71984,220,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,208,0,86
1764044486798,121,GET - Search by Location,200,OK,Property Search Thread Group 1-2,text,true,,71984,220,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,114,0,0
1764044486618,363,GET - Search by Location,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,274,0,0
1764044487091,106,GET - Search by Location,200,OK,Property Search Thread Group 1-3,text,true,,71984,220,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,99,0,0
1764044486792,407,GET - Search All Properties,200,OK,Property Search Thread Group 1-5,text,true,,71984,220,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,216,0,98
1764044487396,111,GET - Search by Location,200,OK,Property Search Thread Group 1-4,text,true,,71984,220,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,103,0,0
1764044487090,419,GET - Search All Properties,200,OK,Property Search Thread Group 1-6,text,true,,71984,220,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,217,0,95
1764044487424,110,GET - Search by Price Range,200,OK,Property Search Thread Group 1-2,text,true,,71984,220,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,103,0,0
1764044487483,116,GET - Search by Price Range,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,112,0,0
1764044487398,387,GET - Search All Properties,200,OK,Property Search Thread Group 1-7,text,true,,71984,220,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,211,0,95
1764044487705,110,GET - Search by Location,200,OK,Property Search Thread Group 1-5,text,true,,71984,220,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,102,0,0
