timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764045874031,360,POST - Signup,400,Bad Request,Authentication Thread Group 1-1,text,false,,388,351,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,354,0,110
1764045874094,297,POST - Signup,400,Bad Request,Authentication Thread Group 1-3,text,false,,388,351,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,291,0,83
1764045874031,360,POST - Signup,400,Bad Request,Authentication Thread Group 1-2,text,false,,388,351,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,354,0,106
1764045874294,175,POST - Signup,400,Bad Request,Authentication Thread Group 1-4,text,false,,388,351,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,175,0,85
1764045874496,172,POST - Signup,400,Bad Request,Authentication Thread Group 1-5,text,false,,388,351,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,172,0,85
1764045874694,189,POST - Signup,400,Bad Request,Authentication Thread Group 1-6,text,false,,388,351,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,188,0,99
1764045874898,182,POST - Signup,400,Bad Request,Authentication Thread Group 1-7,text,false,,388,351,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,182,0,90
1764045875092,183,POST - Signup,400,Bad Request,Authentication Thread Group 1-8,text,false,,388,351,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,183,0,90
1764045875291,178,POST - Signup,400,Bad Request,Authentication Thread Group 1-9,text,false,,388,351,14,14,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,178,0,85
1764045875399,234,POST - Login,200,OK,Authentication Thread Group 1-1,text,true,,819,308,15,15,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,233,0,0
1764045875399,234,POST - Login,200,OK,Authentication Thread Group 1-2,text,true,,819,308,15,15,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,233,0,0
1764045875493,168,POST - Signup,400,Bad Request,Authentication Thread Group 1-10,text,false,,388,353,15,15,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/signup,168,0,81
1764045875400,448,POST - Login,200,OK,Authentication Thread Group 1-3,text,true,,819,308,16,16,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,448,0,0
