timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764043803286,661,POST - Login,200,OK,AI Agent Thread Group 1-1,text,true,,819,345,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,658,0,140
1764043803850,313,POST - Login,200,OK,AI Agent Thread Group 1-2,text,true,,819,345,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,312,0,88
1764043804449,288,POST - Login,200,OK,AI Agent Thread Group 1-3,text,true,,819,345,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,288,0,92
1764043805050,323,POST - Login,200,OK,AI Agent Thread Group 1-4,text,true,,819,345,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,323,0,96
1764043805646,282,POST - Login,200,OK,AI Agent Thread Group 1-5,text,true,,819,345,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,282,0,89
1764043805965,88,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-1,text,false,,178,633,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,88,0,0
1764043806170,91,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-2,text,false,,178,633,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,90,0,0
1764043806249,334,POST - Login,200,OK,AI Agent Thread Group 1-6,text,true,,819,345,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,334,0,91
1764043806745,106,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-3,text,false,,178,633,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,106,0,0
1764043806841,382,POST - Login,200,OK,AI Agent Thread Group 1-7,text,true,,819,345,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,382,0,89
1764043807378,100,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-4,text,false,,178,633,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,100,0,0
1764043807449,294,POST - Login,200,OK,AI Agent Thread Group 1-8,text,true,,819,345,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,294,0,91
