timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764042783586,498,GET - Search All Properties,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,2,2,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,321,0,101
1764042784138,386,GET - Search All Properties,200,OK,Property Search Thread Group 1-2,text,true,,71984,220,3,3,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,213,0,88
1764042784607,122,GET - Search by Location,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,3,3,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,117,0,0
1764042784736,392,GET - Search All Properties,200,OK,Property Search Thread Group 1-3,text,true,,71984,220,4,4,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,205,0,84
1764042785032,116,GET - Search by Location,200,OK,Property Search Thread Group 1-2,text,true,,71984,220,4,4,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,113,0,0
1764042785235,111,GET - Search by Price Range,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,4,4,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,107,0,0
1764042785652,112,GET - Search by Price Range,200,OK,Property Search Thread Group 1-2,text,true,,71984,220,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,106,0,0
1764042785636,141,GET - Search by Location,200,OK,Property Search Thread Group 1-3,text,true,,71984,220,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,135,0,0
1764042785336,449,GET - Search All Properties,200,OK,Property Search Thread Group 1-4,text,true,,71984,220,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,273,0,88
1764042785851,93,GET - Property Details,500,Internal Server Error,Property Search Thread Group 1-1,text,false,,410,219,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/NO_ID,93,0,0
1764042785937,392,GET - Search All Properties,200,OK,Property Search Thread Group 1-5,text,true,,71984,220,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,206,0,88
1764042786270,86,GET - Property Details,500,Internal Server Error,Property Search Thread Group 1-2,text,false,,410,219,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/NO_ID,86,0,0
1764042786283,145,GET - Search by Price Range,200,OK,Property Search Thread Group 1-3,text,true,,71984,220,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,140,0,0
1764042786292,152,GET - Search by Location,200,OK,Property Search Thread Group 1-4,text,true,,71984,220,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,144,0,0
1764042786450,163,GET - Search All Properties,200,OK,Property Search Thread Group 1-1,text,true,,71984,220,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,159,0,0
1764042786537,368,GET - Search All Properties,200,OK,Property Search Thread Group 1-6,text,true,,71984,220,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,195,0,87
1764042786836,104,GET - Search by Location,200,OK,Property Search Thread Group 1-5,text,true,,71984,220,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,99,0,0
